품질ID,작업ID,관리항목,관리기준/확인내용,검사방법,검사시점,품질이 해야할 일,출처URL
Q-TEMP-DECK-001-02,TEMP-DECK-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-DECK-001-03,TEMP-DECK-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-NET-001-01,TEMP-NET-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-NET-001-02,TEMP-NET-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-NET-001-03,TEMP-NET-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-CLEAR-001-01,EARTH-CLEAR-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-CLEAR-001-02,EARTH-CLEAR-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-CLEAR-001-03,EARTH-CLEAR-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-EXC-001-01,EARTH-EXC-001,굴착레벨,설계고와 일치,레벨측량,굴착 완료,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-EXC-001-02,EARTH-EXC-001,지반상태,연약층·용수·붕괴징후 확인,육안/사진,굴착 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-EXC-001-03,EARTH-EXC-001,되메우기 다짐,층두께·다짐도 관리,현장밀도시험,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-EXC-002-01,EARTH-EXC-002,굴착레벨,설계고와 일치,레벨측량,굴착 완료,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-EXC-002-02,EARTH-EXC-002,지반상태,연약층·용수·붕괴징후 확인,육안/사진,굴착 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-EXC-002-03,EARTH-EXC-002,되메우기 다짐,층두께·다짐도 관리,현장밀도시험,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-ROCK-001-01,EARTH-ROCK-001,굴착레벨,설계고와 일치,레벨측량,굴착 완료,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-ROCK-001-02,EARTH-ROCK-001,지반상태,연약층·용수·붕괴징후 확인,육안/사진,굴착 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-ROCK-001-03,EARTH-ROCK-001,되메우기 다짐,층두께·다짐도 관리,현장밀도시험,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-HAUL-001-01,EARTH-HAUL-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-HAUL-001-02,EARTH-HAUL-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-HAUL-001-03,EARTH-HAUL-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-BACK-001-01,EARTH-BACK-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-BACK-001-02,EARTH-BACK-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-BACK-001-03,EARTH-BACK-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-COMP-001-01,EARTH-COMP-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-COMP-001-02,EARTH-COMP-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-EARTH-COMP-001-03,EARTH-COMP-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-PHC-001-01,PILE-PHC-001,파일 위치,허용오차 이내,측량,시공 전후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-PHC-001-02,PILE-PHC-001,항타/천공 기록,깊이·관입량·수직도 기록,시공기록지,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-PHC-001-03,PILE-PHC-001,두부정리,설계레벨 및 보강상태 확인,레벨/육안,컷팅 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-DRILL-001-01,PILE-DRILL-001,파일 위치,허용오차 이내,측량,시공 전후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-DRILL-001-02,PILE-DRILL-001,항타/천공 기록,깊이·관입량·수직도 기록,시공기록지,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-DRILL-001-03,PILE-DRILL-001,두부정리,설계레벨 및 보강상태 확인,레벨/육안,컷팅 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-DRIVE-001-01,PILE-DRIVE-001,파일 위치,허용오차 이내,측량,시공 전후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-DRIVE-001-02,PILE-DRIVE-001,항타/천공 기록,깊이·관입량·수직도 기록,시공기록지,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-DRIVE-001-03,PILE-DRIVE-001,두부정리,설계레벨 및 보강상태 확인,레벨/육안,컷팅 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-CUT-001-01,PILE-CUT-001,파일 위치,허용오차 이내,측량,시공 전후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-CUT-001-02,PILE-CUT-001,항타/천공 기록,깊이·관입량·수직도 기록,시공기록지,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-CUT-001-03,PILE-CUT-001,두부정리,설계레벨 및 보강상태 확인,레벨/육안,컷팅 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-GROUT-001-01,PILE-GROUT-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-GROUT-001-02,PILE-GROUT-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-PILE-GROUT-001-03,PILE-GROUT-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-RC-FORM-001-01,RC-FORM-001,거푸집 위치·치수,도면 허용오차 및 수직·수평 확인,줄자/레벨/먹줄,검측 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-FORM-001-02,RC-FORM-001,동바리 설치상태,조립도·수평연결재·침하방지 확인,육안/체크리스트,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-FORM-001-03,RC-FORM-001,박리제 도포,철근 오염 없이 균일 도포,육안,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-FORM-002-01,RC-FORM-002,거푸집 위치·치수,도면 허용오차 및 수직·수평 확인,줄자/레벨/먹줄,검측 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-FORM-002-02,RC-FORM-002,동바리 설치상태,조립도·수평연결재·침하방지 확인,육안/체크리스트,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-FORM-002-03,RC-FORM-002,박리제 도포,철근 오염 없이 균일 도포,육안,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-FORM-003-01,RC-FORM-003,거푸집 위치·치수,도면 허용오차 및 수직·수평 확인,줄자/레벨/먹줄,검측 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-FORM-003-02,RC-FORM-003,동바리 설치상태,조립도·수평연결재·침하방지 확인,육안/체크리스트,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-FORM-003-03,RC-FORM-003,박리제 도포,철근 오염 없이 균일 도포,육안,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-FORM-004-01,RC-FORM-004,거푸집 위치·치수,도면 허용오차 및 수직·수평 확인,줄자/레벨/먹줄,검측 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-FORM-004-02,RC-FORM-004,동바리 설치상태,조립도·수평연결재·침하방지 확인,육안/체크리스트,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-FORM-004-03,RC-FORM-004,박리제 도포,철근 오염 없이 균일 도포,육안,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-001-01,RC-REBAR-001,철근 규격·간격,구조도면과 일치,줄자/캘리퍼스,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-001-02,RC-REBAR-001,피복두께,도면 및 시방 기준 이상,스페이서/피복측정,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-001-03,RC-REBAR-001,이음·정착길이,설계도면 및 KDS/KCS 기준 확인,줄자/육안,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-002-01,RC-REBAR-002,철근 규격·간격,구조도면과 일치,줄자/캘리퍼스,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-002-02,RC-REBAR-002,피복두께,도면 및 시방 기준 이상,스페이서/피복측정,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-002-03,RC-REBAR-002,이음·정착길이,설계도면 및 KDS/KCS 기준 확인,줄자/육안,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-003-01,RC-REBAR-003,철근 규격·간격,구조도면과 일치,줄자/캘리퍼스,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-003-02,RC-REBAR-003,피복두께,도면 및 시방 기준 이상,스페이서/피복측정,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-003-03,RC-REBAR-003,이음·정착길이,설계도면 및 KDS/KCS 기준 확인,줄자/육안,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-004-01,RC-REBAR-004,철근 규격·간격,구조도면과 일치,줄자/캘리퍼스,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-004-02,RC-REBAR-004,피복두께,도면 및 시방 기준 이상,스페이서/피복측정,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-REBAR-004-03,RC-REBAR-004,이음·정착길이,설계도면 및 KDS/KCS 기준 확인,줄자/육안,타설 전,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-CONC-001-01,RC-CONC-001,슬럼프·공기량,배합설계 및 현장 기준 범위,시험기구,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-CONC-001-02,RC-CONC-001,타설 연속성,콜드조인트 방지,시공기록,타설 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
Q-RC-CONC-001-03,RC-CONC-001,다짐·마감,재료분리·공극 없음,육안/바이브레이터 관리,타설 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/viewer/KCS%2061%2050%2005%3A2017-10-27
