관리ID,작업ID,단계,공사/안전이 해야할 일,확인자,기록/증빙,출처URL
S-TEMP-WATER-001-02,TEMP-WATER-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-TEMP-WATER-001-03,TEMP-WATER-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-TEMP-SCAFF-001-01,TEMP-SCAFF-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-TEMP-SCAFF-001-02,TEMP-SCAFF-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-TEMP-SCAFF-001-03,TEMP-SCAFF-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-TEMP-SCAFF-002-01,TEMP-SCAFF-002,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-TEMP-SCAFF-002-02,TEMP-SCAFF-002,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-TEMP-SCAFF-002-03,TEMP-SCAFF-002,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-TEMP-DECK-001-01,TEMP-DECK-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-TEMP-DECK-001-02,TEMP-DECK-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-TEMP-DECK-001-03,TEMP-DECK-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-TEMP-NET-001-01,TEMP-NET-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-TEMP-NET-001-02,TEMP-NET-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-TEMP-NET-001-03,TEMP-NET-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-EARTH-CLEAR-001-01,EARTH-CLEAR-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-EARTH-CLEAR-001-02,EARTH-CLEAR-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-EARTH-CLEAR-001-03,EARTH-CLEAR-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-EARTH-EXC-001-01,EARTH-EXC-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-EARTH-EXC-001-02,EARTH-EXC-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-EARTH-EXC-001-03,EARTH-EXC-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-EARTH-EXC-002-01,EARTH-EXC-002,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-EARTH-EXC-002-02,EARTH-EXC-002,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-EARTH-EXC-002-03,EARTH-EXC-002,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-EARTH-ROCK-001-01,EARTH-ROCK-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-EARTH-ROCK-001-02,EARTH-ROCK-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-EARTH-ROCK-001-03,EARTH-ROCK-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-EARTH-HAUL-001-01,EARTH-HAUL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-EARTH-HAUL-001-02,EARTH-HAUL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-EARTH-HAUL-001-03,EARTH-HAUL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-EARTH-BACK-001-01,EARTH-BACK-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-EARTH-BACK-001-02,EARTH-BACK-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-EARTH-BACK-001-03,EARTH-BACK-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-EARTH-COMP-001-01,EARTH-COMP-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-EARTH-COMP-001-02,EARTH-COMP-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-EARTH-COMP-001-03,EARTH-COMP-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-PILE-PHC-001-01,PILE-PHC-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-PILE-PHC-001-02,PILE-PHC-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-PILE-PHC-001-03,PILE-PHC-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-PILE-DRILL-001-01,PILE-DRILL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-PILE-DRILL-001-02,PILE-DRILL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-PILE-DRILL-001-03,PILE-DRILL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-PILE-DRIVE-001-01,PILE-DRIVE-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-PILE-DRIVE-001-02,PILE-DRIVE-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-PILE-DRIVE-001-03,PILE-DRIVE-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-PILE-CUT-001-01,PILE-CUT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-PILE-CUT-001-02,PILE-CUT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-PILE-CUT-001-03,PILE-CUT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-PILE-GROUT-001-01,PILE-GROUT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-PILE-GROUT-001-02,PILE-GROUT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-PILE-GROUT-001-03,PILE-GROUT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-FORM-001-01,RC-FORM-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-FORM-001-02,RC-FORM-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-FORM-001-03,RC-FORM-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-FORM-002-01,RC-FORM-002,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-FORM-002-02,RC-FORM-002,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-FORM-002-03,RC-FORM-002,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-FORM-003-01,RC-FORM-003,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-FORM-003-02,RC-FORM-003,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-FORM-003-03,RC-FORM-003,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-FORM-004-01,RC-FORM-004,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-FORM-004-02,RC-FORM-004,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-FORM-004-03,RC-FORM-004,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-REBAR-001-01,RC-REBAR-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-REBAR-001-02,RC-REBAR-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-REBAR-001-03,RC-REBAR-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-REBAR-002-01,RC-REBAR-002,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-REBAR-002-02,RC-REBAR-002,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-REBAR-002-03,RC-REBAR-002,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-REBAR-003-01,RC-REBAR-003,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-REBAR-003-02,RC-REBAR-003,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-REBAR-003-03,RC-REBAR-003,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-REBAR-004-01,RC-REBAR-004,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-REBAR-004-02,RC-REBAR-004,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-REBAR-004-03,RC-REBAR-004,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-CONC-001-01,RC-CONC-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-CONC-001-02,RC-CONC-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-CONC-001-03,RC-CONC-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-CONC-002-01,RC-CONC-002,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-CONC-002-02,RC-CONC-002,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-CONC-002-03,RC-CONC-002,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-CONC-003-01,RC-CONC-003,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-CONC-003-02,RC-CONC-003,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-CONC-003-03,RC-CONC-003,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-CURE-001-01,RC-CURE-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-CURE-001-02,RC-CURE-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-CURE-001-03,RC-CURE-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-RC-TEST-001-01,RC-TEST-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-RC-TEST-001-02,RC-TEST-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-RC-TEST-001-03,RC-TEST-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-STEEL-ANCHOR-001-01,STEEL-ANCHOR-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-STEEL-ANCHOR-001-02,STEEL-ANCHOR-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-STEEL-ANCHOR-001-03,STEEL-ANCHOR-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-STEEL-ERECT-001-01,STEEL-ERECT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-STEEL-ERECT-001-02,STEEL-ERECT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-STEEL-ERECT-001-03,STEEL-ERECT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-STEEL-BOLT-001-01,STEEL-BOLT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-STEEL-BOLT-001-02,STEEL-BOLT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-STEEL-BOLT-001-03,STEEL-BOLT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
