체크ID,작업ID,구분,체크문항,판정,증빙
CHK-TEMP-SCAFF-001-03,TEMP-SCAFF-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-SCAFF-001-04,TEMP-SCAFF-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-SCAFF-001-05,TEMP-SCAFF-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-SCAFF-002-01,TEMP-SCAFF-002,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-SCAFF-002-02,TEMP-SCAFF-002,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-SCAFF-002-03,TEMP-SCAFF-002,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-SCAFF-002-04,TEMP-SCAFF-002,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-SCAFF-002-05,TEMP-SCAFF-002,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-DECK-001-01,TEMP-DECK-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-DECK-001-02,TEMP-DECK-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-DECK-001-03,TEMP-DECK-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-DECK-001-04,TEMP-DECK-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-DECK-001-05,TEMP-DECK-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-NET-001-01,TEMP-NET-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-NET-001-02,TEMP-NET-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-NET-001-03,TEMP-NET-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-NET-001-04,TEMP-NET-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-NET-001-05,TEMP-NET-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-CLEAR-001-01,EARTH-CLEAR-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-CLEAR-001-02,EARTH-CLEAR-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-CLEAR-001-03,EARTH-CLEAR-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-CLEAR-001-04,EARTH-CLEAR-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-CLEAR-001-05,EARTH-CLEAR-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-EXC-001-01,EARTH-EXC-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-EXC-001-02,EARTH-EXC-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-EXC-001-03,EARTH-EXC-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-EXC-001-04,EARTH-EXC-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-EXC-001-05,EARTH-EXC-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-EXC-002-01,EARTH-EXC-002,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-EXC-002-02,EARTH-EXC-002,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-EXC-002-03,EARTH-EXC-002,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-EXC-002-04,EARTH-EXC-002,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-EXC-002-05,EARTH-EXC-002,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-ROCK-001-01,EARTH-ROCK-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-ROCK-001-02,EARTH-ROCK-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-ROCK-001-03,EARTH-ROCK-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-ROCK-001-04,EARTH-ROCK-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-ROCK-001-05,EARTH-ROCK-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-HAUL-001-01,EARTH-HAUL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-HAUL-001-02,EARTH-HAUL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-HAUL-001-03,EARTH-HAUL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-HAUL-001-04,EARTH-HAUL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-HAUL-001-05,EARTH-HAUL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-BACK-001-01,EARTH-BACK-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-BACK-001-02,EARTH-BACK-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-BACK-001-03,EARTH-BACK-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-BACK-001-04,EARTH-BACK-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-BACK-001-05,EARTH-BACK-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-COMP-001-01,EARTH-COMP-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-COMP-001-02,EARTH-COMP-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-COMP-001-03,EARTH-COMP-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-COMP-001-04,EARTH-COMP-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EARTH-COMP-001-05,EARTH-COMP-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-PHC-001-01,PILE-PHC-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-PHC-001-02,PILE-PHC-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-PHC-001-03,PILE-PHC-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-PHC-001-04,PILE-PHC-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-PHC-001-05,PILE-PHC-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-DRILL-001-01,PILE-DRILL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-DRILL-001-02,PILE-DRILL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-DRILL-001-03,PILE-DRILL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-DRILL-001-04,PILE-DRILL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-DRILL-001-05,PILE-DRILL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-DRIVE-001-01,PILE-DRIVE-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-DRIVE-001-02,PILE-DRIVE-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-DRIVE-001-03,PILE-DRIVE-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-DRIVE-001-04,PILE-DRIVE-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-DRIVE-001-05,PILE-DRIVE-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-CUT-001-01,PILE-CUT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-CUT-001-02,PILE-CUT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-CUT-001-03,PILE-CUT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-CUT-001-04,PILE-CUT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-CUT-001-05,PILE-CUT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-GROUT-001-01,PILE-GROUT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-GROUT-001-02,PILE-GROUT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-GROUT-001-03,PILE-GROUT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-GROUT-001-04,PILE-GROUT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PILE-GROUT-001-05,PILE-GROUT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-001-01,RC-FORM-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-001-02,RC-FORM-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-001-03,RC-FORM-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-001-04,RC-FORM-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-001-05,RC-FORM-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-002-01,RC-FORM-002,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-002-02,RC-FORM-002,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-002-03,RC-FORM-002,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-002-04,RC-FORM-002,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-002-05,RC-FORM-002,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-003-01,RC-FORM-003,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-003-02,RC-FORM-003,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-003-03,RC-FORM-003,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-003-04,RC-FORM-003,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-003-05,RC-FORM-003,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-004-01,RC-FORM-004,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-004-02,RC-FORM-004,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-004-03,RC-FORM-004,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-004-04,RC-FORM-004,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-FORM-004-05,RC-FORM-004,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-001-01,RC-REBAR-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-001-02,RC-REBAR-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-001-03,RC-REBAR-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-001-04,RC-REBAR-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-001-05,RC-REBAR-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-002-01,RC-REBAR-002,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-002-02,RC-REBAR-002,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-002-03,RC-REBAR-002,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-002-04,RC-REBAR-002,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-002-05,RC-REBAR-002,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-003-01,RC-REBAR-003,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-003-02,RC-REBAR-003,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-003-03,RC-REBAR-003,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-003-04,RC-REBAR-003,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-003-05,RC-REBAR-003,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-004-01,RC-REBAR-004,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-004-02,RC-REBAR-004,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-004-03,RC-REBAR-004,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-004-04,RC-REBAR-004,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-REBAR-004-05,RC-REBAR-004,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-001-01,RC-CONC-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-001-02,RC-CONC-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-001-03,RC-CONC-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-001-04,RC-CONC-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-001-05,RC-CONC-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-002-01,RC-CONC-002,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-002-02,RC-CONC-002,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-002-03,RC-CONC-002,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-002-04,RC-CONC-002,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-002-05,RC-CONC-002,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-003-01,RC-CONC-003,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-003-02,RC-CONC-003,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-003-03,RC-CONC-003,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-003-04,RC-CONC-003,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CONC-003-05,RC-CONC-003,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CURE-001-01,RC-CURE-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CURE-001-02,RC-CURE-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CURE-001-03,RC-CURE-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CURE-001-04,RC-CURE-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-CURE-001-05,RC-CURE-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-TEST-001-01,RC-TEST-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-TEST-001-02,RC-TEST-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-TEST-001-03,RC-TEST-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-TEST-001-04,RC-TEST-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-RC-TEST-001-05,RC-TEST-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-ANCHOR-001-01,STEEL-ANCHOR-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-ANCHOR-001-02,STEEL-ANCHOR-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-ANCHOR-001-03,STEEL-ANCHOR-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-ANCHOR-001-04,STEEL-ANCHOR-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
