장비ID,작업ID,구분,장비/자재/PPE,관리포인트
E-EARTH-ROCK-001-01,EARTH-ROCK-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-EARTH-ROCK-001-02,EARTH-ROCK-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-EARTH-ROCK-001-03,EARTH-ROCK-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-EARTH-HAUL-001-01,EARTH-HAUL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-EARTH-HAUL-001-02,EARTH-HAUL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-EARTH-HAUL-001-03,EARTH-HAUL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-EARTH-BACK-001-01,EARTH-BACK-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 신호봉/무전기",작업 전 착용상태 확인
E-EARTH-BACK-001-02,EARTH-BACK-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-EARTH-BACK-001-03,EARTH-BACK-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-EARTH-COMP-001-01,EARTH-COMP-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 신호봉/무전기",작업 전 착용상태 확인
E-EARTH-COMP-001-02,EARTH-COMP-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-EARTH-COMP-001-03,EARTH-COMP-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-PILE-PHC-001-01,PILE-PHC-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-PILE-PHC-001-02,PILE-PHC-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-PILE-PHC-001-03,PILE-PHC-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-PILE-DRILL-001-01,PILE-DRILL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-PILE-DRILL-001-02,PILE-DRILL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-PILE-DRILL-001-03,PILE-DRILL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-PILE-DRIVE-001-01,PILE-DRIVE-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-PILE-DRIVE-001-02,PILE-DRIVE-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-PILE-DRIVE-001-03,PILE-DRIVE-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-PILE-CUT-001-01,PILE-CUT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-PILE-CUT-001-02,PILE-CUT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-PILE-CUT-001-03,PILE-CUT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-PILE-GROUT-001-01,PILE-GROUT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 신호봉/무전기",작업 전 착용상태 확인
E-PILE-GROUT-001-02,PILE-GROUT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-PILE-GROUT-001-03,PILE-GROUT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-FORM-001-01,RC-FORM-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-RC-FORM-001-02,RC-FORM-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-FORM-001-03,RC-FORM-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-FORM-002-01,RC-FORM-002,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-RC-FORM-002-02,RC-FORM-002,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-FORM-002-03,RC-FORM-002,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-FORM-003-01,RC-FORM-003,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-RC-FORM-003-02,RC-FORM-003,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-FORM-003-03,RC-FORM-003,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-FORM-004-01,RC-FORM-004,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-RC-FORM-004-02,RC-FORM-004,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-FORM-004-03,RC-FORM-004,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-REBAR-001-01,RC-REBAR-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-RC-REBAR-001-02,RC-REBAR-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-REBAR-001-03,RC-REBAR-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-REBAR-002-01,RC-REBAR-002,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-RC-REBAR-002-02,RC-REBAR-002,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-REBAR-002-03,RC-REBAR-002,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-REBAR-003-01,RC-REBAR-003,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-RC-REBAR-003-02,RC-REBAR-003,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-REBAR-003-03,RC-REBAR-003,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-REBAR-004-01,RC-REBAR-004,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-RC-REBAR-004-02,RC-REBAR-004,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-REBAR-004-03,RC-REBAR-004,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-CONC-001-01,RC-CONC-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-RC-CONC-001-02,RC-CONC-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-CONC-001-03,RC-CONC-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-CONC-002-01,RC-CONC-002,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-RC-CONC-002-02,RC-CONC-002,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-CONC-002-03,RC-CONC-002,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-CONC-003-01,RC-CONC-003,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-RC-CONC-003-02,RC-CONC-003,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-CONC-003-03,RC-CONC-003,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-CURE-001-01,RC-CURE-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-RC-CURE-001-02,RC-CURE-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-CURE-001-03,RC-CURE-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-RC-TEST-001-01,RC-TEST-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-RC-TEST-001-02,RC-TEST-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-RC-TEST-001-03,RC-TEST-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-STEEL-ANCHOR-001-01,STEEL-ANCHOR-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-STEEL-ANCHOR-001-02,STEEL-ANCHOR-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-STEEL-ANCHOR-001-03,STEEL-ANCHOR-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-STEEL-ERECT-001-01,STEEL-ERECT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-STEEL-ERECT-001-02,STEEL-ERECT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-STEEL-ERECT-001-03,STEEL-ERECT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-STEEL-BOLT-001-01,STEEL-BOLT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-STEEL-BOLT-001-02,STEEL-BOLT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-STEEL-BOLT-001-03,STEEL-BOLT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-STEEL-WELD-001-01,STEEL-WELD-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-STEEL-WELD-001-02,STEEL-WELD-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-STEEL-WELD-001-03,STEEL-WELD-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-STEEL-DECK-001-01,STEEL-DECK-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-STEEL-DECK-001-02,STEEL-DECK-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-STEEL-DECK-001-03,STEEL-DECK-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-STEEL-FIRE-001-01,STEEL-FIRE-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 신호봉/무전기",작업 전 착용상태 확인
E-STEEL-FIRE-001-02,STEEL-FIRE-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-STEEL-FIRE-001-03,STEEL-FIRE-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-MASON-BRICK-001-01,MASON-BRICK-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-MASON-BRICK-001-02,MASON-BRICK-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-MASON-BRICK-001-03,MASON-BRICK-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-MASON-BLOCK-001-01,MASON-BLOCK-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-MASON-BLOCK-001-02,MASON-BLOCK-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-MASON-BLOCK-001-03,MASON-BLOCK-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-MASON-LINTEL-001-01,MASON-LINTEL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-MASON-LINTEL-001-02,MASON-LINTEL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-MASON-LINTEL-001-03,MASON-LINTEL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-PLASTER-WALL-001-01,PLASTER-WALL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-PLASTER-WALL-001-02,PLASTER-WALL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-PLASTER-WALL-001-03,PLASTER-WALL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-PLASTER-FLOOR-001-01,PLASTER-FLOOR-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-PLASTER-FLOOR-001-02,PLASTER-FLOOR-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-PLASTER-FLOOR-001-03,PLASTER-FLOOR-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-PLASTER-LEVEL-001-01,PLASTER-LEVEL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-PLASTER-LEVEL-001-02,PLASTER-LEVEL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-PLASTER-LEVEL-001-03,PLASTER-LEVEL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-WATER-URE-001-01,WATER-URE-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 방독마스크, 소화기",작업 전 착용상태 확인
E-WATER-URE-001-02,WATER-URE-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-WATER-URE-001-03,WATER-URE-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-WATER-SHEET-001-01,WATER-SHEET-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 방독마스크, 소화기",작업 전 착용상태 확인
E-WATER-SHEET-001-02,WATER-SHEET-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-WATER-SHEET-001-03,WATER-SHEET-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-WATER-JOINT-001-01,WATER-JOINT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 방독마스크, 소화기",작업 전 착용상태 확인
E-WATER-JOINT-001-02,WATER-JOINT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-WATER-JOINT-001-03,WATER-JOINT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-INSUL-XPS-001-01,INSUL-XPS-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-INSUL-XPS-001-02,INSUL-XPS-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-INSUL-XPS-001-03,INSUL-XPS-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-INSUL-WOOL-001-01,INSUL-WOOL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-INSUL-WOOL-001-02,INSUL-WOOL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-INSUL-WOOL-001-03,INSUL-WOOL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-WINDOW-AL-001-01,WINDOW-AL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-WINDOW-AL-001-02,WINDOW-AL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-WINDOW-AL-001-03,WINDOW-AL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-WINDOW-GLASS-001-01,WINDOW-GLASS-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-WINDOW-GLASS-001-02,WINDOW-GLASS-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-WINDOW-GLASS-001-03,WINDOW-GLASS-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-WINDOW-DOOR-001-01,WINDOW-DOOR-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-WINDOW-DOOR-001-02,WINDOW-DOOR-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-WINDOW-DOOR-001-03,WINDOW-DOOR-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-METAL-RAIL-001-01,METAL-RAIL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-METAL-RAIL-001-02,METAL-RAIL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-METAL-RAIL-001-03,METAL-RAIL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-METAL-CEIL-001-01,METAL-CEIL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-METAL-CEIL-001-02,METAL-CEIL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-METAL-CEIL-001-03,METAL-CEIL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-METAL-LOUVER-001-01,METAL-LOUVER-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-METAL-LOUVER-001-02,METAL-LOUVER-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-METAL-LOUVER-001-03,METAL-LOUVER-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-ROOF-SHEET-001-01,ROOF-SHEET-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-ROOF-SHEET-001-02,ROOF-SHEET-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-ROOF-SHEET-001-03,ROOF-SHEET-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-ROOF-DRAIN-001-01,ROOF-DRAIN-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-ROOF-DRAIN-001-02,ROOF-DRAIN-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-ROOF-DRAIN-001-03,ROOF-DRAIN-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-STONE-EXT-001-01,STONE-EXT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-STONE-EXT-001-02,STONE-EXT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-STONE-EXT-001-03,STONE-EXT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-STONE-FLOOR-001-01,STONE-FLOOR-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-STONE-FLOOR-001-02,STONE-FLOOR-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-STONE-FLOOR-001-03,STONE-FLOOR-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-TILE-WALL-001-01,TILE-WALL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-TILE-WALL-001-02,TILE-WALL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-TILE-WALL-001-03,TILE-WALL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-TILE-FLOOR-001-01,TILE-FLOOR-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-TILE-FLOOR-001-02,TILE-FLOOR-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-TILE-FLOOR-001-03,TILE-FLOOR-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-TILE-GROUT-001-01,TILE-GROUT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-TILE-GROUT-001-02,TILE-GROUT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-TILE-GROUT-001-03,TILE-GROUT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-PAINT-WATER-001-01,PAINT-WATER-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 방독마스크, 소화기",작업 전 착용상태 확인
E-PAINT-WATER-001-02,PAINT-WATER-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-PAINT-WATER-001-03,PAINT-WATER-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-PAINT-EPOXY-001-01,PAINT-EPOXY-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 방독마스크, 소화기",작업 전 착용상태 확인
E-PAINT-EPOXY-001-02,PAINT-EPOXY-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-PAINT-EPOXY-001-03,PAINT-EPOXY-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-PAINT-ANTIRUST-001-01,PAINT-ANTIRUST-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 방독마스크, 소화기",작업 전 착용상태 확인
E-PAINT-ANTIRUST-001-02,PAINT-ANTIRUST-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-PAINT-ANTIRUST-001-03,PAINT-ANTIRUST-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-INTERIOR-BOARD-001-01,INTERIOR-BOARD-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-INTERIOR-BOARD-001-02,INTERIOR-BOARD-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-INTERIOR-BOARD-001-03,INTERIOR-BOARD-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-INTERIOR-CEIL-001-01,INTERIOR-CEIL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-INTERIOR-CEIL-001-02,INTERIOR-CEIL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-INTERIOR-CEIL-001-03,INTERIOR-CEIL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-INTERIOR-FIN-001-01,INTERIOR-FIN-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
