위험ID,작업ID,위험요소,사고유형,위험도,상황설명,예방핵심,출처URL
R-EARTH-ROCK-001-03,EARTH-ROCK-001,개구부·굴착부 추락,추락,중,단부 표시·난간 미설치,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-HAUL-001-01,EARTH-HAUL-001,굴착면 붕괴,붕괴,상,토질·강우·지하수 영향,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-HAUL-001-02,EARTH-HAUL-001,장비 협착·충돌,협착/충돌,상,굴삭기·덤프 작업반경 내 접근,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-HAUL-001-03,EARTH-HAUL-001,개구부·굴착부 추락,추락,중,단부 표시·난간 미설치,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-BACK-001-01,EARTH-BACK-001,굴착면 붕괴,붕괴,상,토질·강우·지하수 영향,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-BACK-001-02,EARTH-BACK-001,장비 협착·충돌,협착/충돌,상,굴삭기·덤프 작업반경 내 접근,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-BACK-001-03,EARTH-BACK-001,개구부·굴착부 추락,추락,중,단부 표시·난간 미설치,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-COMP-001-01,EARTH-COMP-001,굴착면 붕괴,붕괴,상,토질·강우·지하수 영향,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-COMP-001-02,EARTH-COMP-001,장비 협착·충돌,협착/충돌,상,굴삭기·덤프 작업반경 내 접근,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-COMP-001-03,EARTH-COMP-001,개구부·굴착부 추락,추락,중,단부 표시·난간 미설치,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-PHC-001-01,PILE-PHC-001,항타기·천공기 전도,전도,상,지반 지지력·아웃트리거 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-PHC-001-02,PILE-PHC-001,파일 낙하·흔들림,낙하/충돌,상,양중 신호·줄걸이 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-PHC-001-03,PILE-PHC-001,소음·진동 노출,보건,중,청력보호구·주변관리 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-DRILL-001-01,PILE-DRILL-001,항타기·천공기 전도,전도,상,지반 지지력·아웃트리거 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-DRILL-001-02,PILE-DRILL-001,파일 낙하·흔들림,낙하/충돌,상,양중 신호·줄걸이 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-DRILL-001-03,PILE-DRILL-001,소음·진동 노출,보건,중,청력보호구·주변관리 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-DRIVE-001-01,PILE-DRIVE-001,항타기·천공기 전도,전도,상,지반 지지력·아웃트리거 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-DRIVE-001-02,PILE-DRIVE-001,파일 낙하·흔들림,낙하/충돌,상,양중 신호·줄걸이 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-DRIVE-001-03,PILE-DRIVE-001,소음·진동 노출,보건,중,청력보호구·주변관리 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-CUT-001-01,PILE-CUT-001,항타기·천공기 전도,전도,상,지반 지지력·아웃트리거 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-CUT-001-02,PILE-CUT-001,파일 낙하·흔들림,낙하/충돌,상,양중 신호·줄걸이 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-CUT-001-03,PILE-CUT-001,소음·진동 노출,보건,중,청력보호구·주변관리 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-GROUT-001-01,PILE-GROUT-001,항타기·천공기 전도,전도,상,지반 지지력·아웃트리거 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-GROUT-001-02,PILE-GROUT-001,파일 낙하·흔들림,낙하/충돌,상,양중 신호·줄걸이 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PILE-GROUT-001-03,PILE-GROUT-001,소음·진동 노출,보건,중,청력보호구·주변관리 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-001-01,RC-FORM-001,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-001-02,RC-FORM-001,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-001-03,RC-FORM-001,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-002-01,RC-FORM-002,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-002-02,RC-FORM-002,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-002-03,RC-FORM-002,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-003-01,RC-FORM-003,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-003-02,RC-FORM-003,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-003-03,RC-FORM-003,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-004-01,RC-FORM-004,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-004-02,RC-FORM-004,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-FORM-004-03,RC-FORM-004,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-001-01,RC-REBAR-001,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-001-02,RC-REBAR-001,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-001-03,RC-REBAR-001,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-002-01,RC-REBAR-002,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-002-02,RC-REBAR-002,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-002-03,RC-REBAR-002,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-003-01,RC-REBAR-003,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-003-02,RC-REBAR-003,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-003-03,RC-REBAR-003,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-004-01,RC-REBAR-004,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-004-02,RC-REBAR-004,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-REBAR-004-03,RC-REBAR-004,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CONC-001-01,RC-CONC-001,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CONC-001-02,RC-CONC-001,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CONC-001-03,RC-CONC-001,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CONC-002-01,RC-CONC-002,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CONC-002-02,RC-CONC-002,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CONC-002-03,RC-CONC-002,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CONC-003-01,RC-CONC-003,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CONC-003-02,RC-CONC-003,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CONC-003-03,RC-CONC-003,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CURE-001-01,RC-CURE-001,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CURE-001-02,RC-CURE-001,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-CURE-001-03,RC-CURE-001,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-TEST-001-01,RC-TEST-001,단부·개구부 추락,추락,상,슬래브·비계·거푸집 단부,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-TEST-001-02,RC-TEST-001,철근 찔림·절단,찔림/베임,중,철근캡·보호구 미착용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-RC-TEST-001-03,RC-TEST-001,동바리·거푸집 붕괴,붕괴,상,조립도·하중·해체순서 미준수,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-ANCHOR-001-01,STEEL-ANCHOR-001,철골 양중물 낙하,낙하,상,줄걸이·신호수·작업반경 통제 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-ANCHOR-001-02,STEEL-ANCHOR-001,고소작업 추락,추락,상,생명줄·안전대·작업발판 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-ANCHOR-001-03,STEEL-ANCHOR-001,용접 화재·화상,화재/화상,중,불티비산 방지 및 소화기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-ERECT-001-01,STEEL-ERECT-001,철골 양중물 낙하,낙하,상,줄걸이·신호수·작업반경 통제 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-ERECT-001-02,STEEL-ERECT-001,고소작업 추락,추락,상,생명줄·안전대·작업발판 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-ERECT-001-03,STEEL-ERECT-001,용접 화재·화상,화재/화상,중,불티비산 방지 및 소화기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-BOLT-001-01,STEEL-BOLT-001,철골 양중물 낙하,낙하,상,줄걸이·신호수·작업반경 통제 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-BOLT-001-02,STEEL-BOLT-001,고소작업 추락,추락,상,생명줄·안전대·작업발판 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
